=======
RESULTS
=======

Duration of BST Search: 45902000  nanoseconds
Duration of AVL Search: 32935000  nanoseconds
Duration of Hash Table Search: 5016000  nanoseconds



==============
SEARCHED WORDS
==============

Words searched: 18197

1) Found the word: EBook		 with [20] duplicates.
2) Found the word: Vinci		 with [80] duplicates.
3) Found the word: 3		 with [544] duplicates.
4) Found the word: Copyright		 with [50] duplicates.
5) Found the word: laws		 with [465] duplicates.
6) Found the word: the		 with [164638] duplicates.
7) Found the word: sure		 with [247] duplicates.
8) Found the word: for		 with [14141] duplicates.
9) Found the word: before		 with [2633] duplicates.
10) Found the word: downloading		 with [11] duplicates.
11) Found the word: eBook		 with [150] duplicates.
12) Found the word: seen		 with [1297] duplicates.
13) Found the word: when		 with [4489] duplicates.
14) Found the word: not		 with [13998] duplicates.
15) Found the word: without		 with [2096] duplicates.
16) Found the word: permission		 with [111] duplicates.
17) Found the word: and		 with [81051] duplicates.
18) Found the word: information		 with [147] duplicates.
19) Found the word: at		 with [14033] duplicates.
20) Found the word: is		 with [23406] duplicates.
21) Found the word: important		 with [588] duplicates.
22) Found the word: specific		 with [75] duplicates.
23) Found the word: how		 with [2007] duplicates.
24) Found the word: may		 with [5543] duplicates.
25) Found the word: You		 with [1757] duplicates.
26) Found the word: can		 with [1968] duplicates.
27) Found the word: also		 with [1736] duplicates.
28) Found the word: Free		 with [37] duplicates.
29) Found the word: Electronic		 with [5] duplicates.
30) Found the word: Texts		 with [5] duplicates.
31) Found the word: Both		 with [106] duplicates.
32) Found the word: Humans		 with [5] duplicates.
33) Found the word: Author		 with [12] duplicates.
34) Found the word: Release		 with [11] duplicates.
35) Found the word: 2004		 with [6] duplicates.
36) Found the word: 5000		 with [14] duplicates.
37) Found the word: we		 with [3031] duplicates.
38) Found the word: more		 with [4366] duplicates.
39) Found the word: than		 with [3039] duplicates.
40) Found the word: Most		 with [78] duplicates.
41) Found the word: recently		 with [63] duplicates.
42) Found the word: Edition		 with [19] duplicates.
43) Found the word: 		 with [1917] duplicates.
44) Found the word: THE		 with [1117] duplicates.
45) Found the word: GUTENBERG		 with [34] duplicates.
46) Found the word: NOTEBOOKS		 with [2] duplicates.
47) Found the word: LEONARDO		 with [2] duplicates.
48) Found the word: DA		 with [22] duplicates.
49) Found the word: Aldarondo		 with [1] duplicates.
50) Found the word: Paul		 with [32] duplicates.
51) Found the word: Richter		 with [3] duplicates.
52) Found the word: nearly		 with [342] duplicates.
53) Found the word: da		 with [141] duplicates.
54) Found the word: works		 with [272] duplicates.
55) Found the word: Two		 with [198] duplicates.
56) Found the word: three		 with [1073] duplicates.
57) Found the word: having		 with [1158] duplicates.
58) Found the word: his		 with [20007] duplicates.
59) Found the word: obliged		 with [71] duplicates.
60) Found the word: unfinished		 with [23] duplicates.
61) Found the word: namely		 with [83] duplicates.
62) Found the word: while		 with [1312] duplicates.
63) Found the word: thirdthe		 with [1] duplicates.
64) Found the word: from		 with [12383] duplicates.
65) Found the word: XVIIIth		 with [1] duplicates.
66) Found the word: centuries		 with [33] duplicates.
67) Found the word: Nevertheless		 with [44] duplicates.
68) Found the word: no		 with [4068] duplicates.
69) Found the word: so		 with [5981] duplicates.
70) Found the word: wellknown		 with [60] duplicates.
71) Found the word: copies		 with [72] duplicates.
72) Found the word: says		 with [357] duplicates.
73) Found the word: that		 with [26160] duplicates.
74) Found the word: much		 with [1587] duplicates.
75) Found the word: deed		 with [75] duplicates.
76) Found the word: biographer		 with [2] duplicates.
